# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.61300000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
2.39808e-06     	3.38492297e-02	-8.56317323e-22	-3.07834220e-05	1.53917110e-06	7.90649248e-06	1.69246149e-03	1.69261540e-02	1.69230757e-02	1.69246149e-03	-1.69246149e-03	-7.48521850e-06	-2.32982035e-05
5.27302e-06     	3.90547871e-02	-1.18059768e-21	-7.42872440e-05	3.71436220e-06	2.62874333e-05	1.95273935e-03	1.95311079e-02	1.95236792e-02	1.95273935e-03	-1.95273935e-03	-1.08561888e-05	-6.34310553e-05
8.72693e-06     	3.67798963e-02	2.19655041e-22	-1.71931727e-05	8.59658633e-07	1.17017686e-05	1.83899481e-03	1.83908078e-02	1.83890885e-02	1.83899481e-03	-1.83899481e-03	3.10518226e-06	-2.02983549e-05
1.28745e-05     	3.51931894e-02	5.21727045e-22	-1.69070718e-05	8.45353592e-07	8.94097109e-06	1.75965947e-03	1.75974401e-02	1.75957494e-02	1.75965947e-03	-1.75965947e-03	4.87435170e-07	-1.73945070e-05
1.786e-05       	3.46638787e-02	-6.61427914e-22	-3.61608465e-05	1.80804232e-06	2.13265252e-05	1.73319393e-03	1.73337474e-02	1.73301313e-02	1.73319393e-03	-1.73319393e-03	3.24610199e-06	-3.94069484e-05
2.38487e-05     	3.39205839e-02	-5.14525697e-22	-2.47646651e-06	1.23823325e-07	1.69820325e-05	1.69602920e-03	1.69604158e-02	1.69601681e-02	1.69602920e-03	-1.69602920e-03	1.57437993e-05	-1.82202658e-05
3.10262e-05     	3.29733306e-02	-6.38057488e-22	5.48907455e-05	-2.74453727e-06	-5.68489998e-06	1.64866653e-03	1.64839208e-02	1.64894098e-02	1.64866653e-03	-1.64866653e-03	2.17604728e-05	3.31302727e-05
3.96012e-05     	3.19281276e-02	-9.15219391e-22	3.55258349e-05	-1.77629174e-06	-9.01148211e-06	1.59640638e-03	1.59622875e-02	1.59658401e-02	1.59640638e-03	-1.59640638e-03	8.75143532e-06	2.67743995e-05
4.99281e-05     	3.08099273e-02	-2.46875136e-21	2.42436839e-05	-1.21218420e-06	-2.41778902e-05	1.54049636e-03	1.54037514e-02	1.54061758e-02	1.54049636e-03	-1.54049636e-03	-1.20560482e-05	3.62997321e-05
6.22667e-05     	2.95897406e-02	3.12955343e-22	3.31044084e-05	-1.65522042e-06	-1.68777769e-05	1.47948703e-03	1.47932151e-02	1.47965255e-02	1.47948703e-03	-1.47948703e-03	-3.25572651e-07	3.34299811e-05
7.71513e-05     	2.82727735e-02	-4.43766521e-22	1.02922242e-04	-5.14611212e-06	-3.71751078e-05	1.41363868e-03	1.41312406e-02	1.41415329e-02	1.41363868e-03	-1.41363868e-03	1.42860133e-05	8.86362290e-05
9.48984e-05     	2.69422172e-02	2.89491176e-22	7.25669534e-05	-3.62834767e-06	-2.94599195e-05	1.34711086e-03	1.34674802e-02	1.34747369e-02	1.34711086e-03	-1.34711086e-03	6.82355723e-06	6.57433961e-05
0.000115947     	2.56299425e-02	1.14032586e-22	7.16743723e-05	-3.58371861e-06	-2.09254337e-05	1.28149712e-03	1.28113875e-02	1.28185550e-02	1.28149712e-03	-1.28149712e-03	1.49117524e-05	5.67626198e-05
0.000141206     	2.42711943e-02	7.30413626e-22	6.08779791e-05	-3.04389895e-06	-1.43525654e-05	1.21355972e-03	1.21325533e-02	1.21386411e-02	1.21355972e-03	-1.21355972e-03	1.60864242e-05	4.47915549e-05
0.000171877     	2.28727350e-02	2.35651770e-21	1.01687052e-04	-5.08435258e-06	-4.55738054e-05	1.14363675e-03	1.14312831e-02	1.14414518e-02	1.14363675e-03	-1.14363675e-03	5.26972037e-06	9.64173311e-05
0.000207883     	2.14490882e-02	1.23916335e-21	1.12317868e-04	-5.61589338e-06	-5.20961258e-05	1.07245441e-03	1.07189282e-02	1.07301600e-02	1.07245441e-03	-1.07245441e-03	4.06280799e-06	1.08255060e-04
0.000251889     	1.99844555e-02	8.50317316e-22	1.63459607e-04	-8.17298035e-06	-6.21675859e-05	9.99222773e-04	9.98405475e-03	1.00004007e-02	9.99222773e-04	-9.99222773e-04	1.95622176e-05	1.43897389e-04
0.000305326     	1.84984830e-02	1.88653531e-21	1.98545975e-04	-9.92729876e-06	-6.76380786e-05	9.24924148e-04	9.23931418e-03	9.25916878e-03	9.24924148e-04	-9.24924148e-04	3.16349090e-05	1.66911066e-04
0.000368478     	1.70384173e-02	6.53245026e-22	2.62997131e-04	-1.31498566e-05	-8.79539127e-05	8.51920863e-04	8.50605877e-03	8.53235849e-03	8.51920863e-04	-8.51920863e-04	4.35446529e-05	2.19452478e-04
0.000438647     	1.56470234e-02	-1.66655222e-21	3.27451852e-04	-1.63725926e-05	-1.04226503e-04	7.82351172e-04	7.80713913e-03	7.83988431e-03	7.82351172e-04	-7.82351172e-04	5.94994235e-05	2.67952429e-04
0.00051884      	1.42737761e-02	2.33597986e-21	3.81982251e-04	-1.90991126e-05	-1.26117997e-04	7.13688807e-04	7.11778895e-03	7.15598718e-03	7.13688807e-04	-7.13688807e-04	6.48731287e-05	3.17109123e-04
0.000599034     	1.30581262e-02	-1.37016472e-21	4.54773815e-04	-2.27386907e-05	-1.47888014e-04	6.52906312e-04	6.50632443e-03	6.55180181e-03	6.52906312e-04	-6.52906312e-04	7.94988928e-05	3.75274922e-04
0.000679227     	1.19709016e-02	8.47216524e-22	5.27289079e-04	-2.63644539e-05	-1.71643368e-04	5.98545082e-04	5.95908636e-03	6.01181527e-03	5.98545082e-04	-5.98545082e-04	9.20011715e-05	4.35287907e-04
0.00075942      	1.09830937e-02	-2.00597302e-21	6.05358337e-04	-3.02679168e-05	-1.94664634e-04	5.49154684e-04	5.46127892e-03	5.52181475e-03	5.49154684e-04	-5.49154684e-04	1.08014534e-04	4.97343803e-04
0.000839613     	1.00754929e-02	3.09069197e-22	6.81141160e-04	-3.40570580e-05	-2.18494916e-04	5.03774645e-04	5.00368939e-03	5.07180351e-03	5.03774645e-04	-5.03774645e-04	1.22075664e-04	5.59065497e-04
0.000919807     	9.23193083e-03	-5.96622118e-22	7.59646526e-04	-3.79823263e-05	-2.42873837e-04	4.61596541e-04	4.57798309e-03	4.65394774e-03	4.61596541e-04	-4.61596541e-04	1.36949426e-04	6.22697100e-04
0.001           	8.44883769e-03	7.99238716e-22	8.35774628e-04	-4.17887314e-05	-2.66554868e-04	4.22441885e-04	4.18263011e-03	4.26620758e-03	4.22441885e-04	-4.22441885e-04	1.51332445e-04	6.84442182e-04
0.00108333      	7.69531511e-03	2.36737455e-21	9.15767515e-04	-4.57883758e-05	-2.91169432e-04	3.84765756e-04	3.80186918e-03	3.89344593e-03	3.84765756e-04	-3.84765756e-04	1.66714326e-04	7.49053190e-04
0.00116667      	6.99880696e-03	-2.66236350e-21	9.92710462e-04	-4.96355231e-05	-3.15006896e-04	3.49940348e-04	3.44976796e-03	3.54903900e-03	3.49940348e-04	-3.49940348e-04	1.81348335e-04	8.11362127e-04
0.00125         	6.35404235e-03	2.68746646e-21	1.06747232e-03	-5.33736160e-05	-3.38077920e-04	3.17702117e-04	3.12364756e-03	3.23039479e-03	3.17702117e-04	-3.17702117e-04	1.95658240e-04	8.71814080e-04
0.00133333      	5.75431458e-03	-1.72370630e-21	1.14056490e-03	-5.70282450e-05	-3.60432482e-04	2.87715729e-04	2.82012905e-03	2.93418554e-03	2.87715729e-04	-2.87715729e-04	2.09849968e-04	9.30714932e-04
0.00141667      	5.19479379e-03	-7.58646727e-22	1.21155857e-03	-6.05779286e-05	-3.81894554e-04	2.59739689e-04	2.53681896e-03	2.65797482e-03	2.59739689e-04	-2.59739689e-04	2.23884732e-04	9.87673839e-04
0.0015          	4.67251280e-03	1.33090688e-22	1.28054550e-03	-6.40272749e-05	-4.02352384e-04	2.33625640e-04	2.27222913e-03	2.40028368e-03	2.33625640e-04	-2.33625640e-04	2.37920365e-04	1.04262513e-03
0.00158333      	4.18389300e-03	-1.88426847e-21	1.34711317e-03	-6.73556586e-05	-4.21758338e-04	2.09194650e-04	2.02459084e-03	2.15930216e-03	2.09194650e-04	-2.09194650e-04	2.51798248e-04	1.09531492e-03
0.00166667      	3.72721831e-03	1.55126741e-21	1.41114845e-03	-7.05574227e-05	-4.39555272e-04	1.86360916e-04	1.79305173e-03	1.93416658e-03	1.86360916e-04	-1.86360916e-04	2.66018955e-04	1.14512950e-03
0.00175         	3.30099243e-03	-2.82726096e-22	1.47224411e-03	-7.36122054e-05	-4.56381749e-04	1.65049621e-04	1.57688401e-03	1.72410842e-03	1.65049621e-04	-1.65049621e-04	2.79740305e-04	1.19250380e-03
0.00183333      	2.90432857e-03	8.03948427e-22	1.53042036e-03	-7.65210179e-05	-4.71527659e-04	1.45216428e-04	1.37564326e-03	1.52868530e-03	1.45216428e-04	-1.45216428e-04	2.93682519e-04	1.23673784e-03
0.00191667      	2.53709480e-03	-4.30441411e-22	1.58552945e-03	-7.92764723e-05	-4.85149881e-04	1.26854740e-04	1.18927093e-03	1.34782387e-03	1.26854740e-04	-1.26854740e-04	3.07614842e-04	1.27791460e-03
0.002           	2.19920829e-03	-4.50237420e-23	1.63736007e-03	-8.18680034e-05	-4.96971519e-04	1.09960415e-04	1.01773614e-03	1.18147215e-03	1.09960415e-04	-1.09960415e-04	3.21708514e-04	1.31565155e-03
0.00207877      	1.90677374e-03	3.84338241e-22	1.68310494e-03	-8.41552468e-05	-5.06573197e-04	9.53386872e-05	8.69231625e-04	1.03754212e-03	9.53386872e-05	-9.53386872e-05	3.34979271e-04	1.34812566e-03
0.00215754      	1.64089320e-03	-4.04057852e-22	1.72667864e-03	-8.63339322e-05	-5.14934712e-04	8.20446598e-05	7.34112666e-04	9.06780530e-04	8.20446598e-05	-8.20446598e-05	3.48404610e-04	1.37827403e-03
0.00223631      	1.40218981e-03	-4.12326928e-22	1.76659065e-03	-8.83295324e-05	-5.21311148e-04	7.01094903e-05	6.12765371e-04	7.89424435e-04	7.01094903e-05	-7.01094903e-05	3.61984176e-04	1.40460647e-03
0.00231508      	1.18981243e-03	9.33956862e-22	1.80337604e-03	-9.01688019e-05	-5.25811125e-04	5.94906216e-05	5.04737414e-04	6.85075018e-04	5.94906216e-05	-5.94906216e-05	3.75876894e-04	1.42749914e-03
0.00239385      	1.00325794e-03	-1.44638977e-21	1.83775398e-03	-9.18876989e-05	-5.28754806e-04	5.01628972e-05	4.09741273e-04	5.93516671e-04	5.01628972e-05	-5.01628972e-05	3.90122184e-04	1.44763180e-03
0.00247262      	8.41256392e-04	-1.16496115e-22	1.86860310e-03	-9.34301550e-05	-5.30740699e-04	4.20628196e-05	3.27198041e-04	5.14058351e-04	4.20628196e-05	-4.20628196e-05	4.03560851e-04	1.46504225e-03
0.00255139      	7.02085138e-04	-3.36667477e-22	1.89814954e-03	-9.49074768e-05	-5.31631947e-04	3.51042569e-05	2.56135092e-04	4.45950046e-04	3.51042569e-05	-3.51042569e-05	4.17442821e-04	1.48070672e-03
0.00263016      	5.84026403e-04	1.89166317e-21	1.92540384e-03	-9.62701918e-05	-5.32050803e-04	2.92013202e-05	1.95743010e-04	3.88283393e-04	2.92013202e-05	-2.92013202e-05	4.30651115e-04	1.49475272e-03
0.00270894      	4.84986793e-04	4.39657759e-22	1.95100849e-03	-9.75504243e-05	-5.31879560e-04	2.42493396e-05	1.44942972e-04	3.40043821e-04	2.42493396e-05	-2.42493396e-05	4.43624683e-04	1.50738380e-03
0.00278771      	4.03123907e-04	2.62723072e-21	1.97452263e-03	-9.87261317e-05	-5.31197191e-04	2.01561953e-05	1.02835822e-04	3.00288085e-04	2.01561953e-05	-2.01561953e-05	4.56064126e-04	1.51845851e-03
0.00286648      	3.36506554e-04	9.05049584e-22	1.99755946e-03	-9.98779731e-05	-5.30482041e-04	1.68253277e-05	6.83753040e-05	2.68131250e-04	1.68253277e-05	-1.68253277e-05	4.68297689e-04	1.52926177e-03
0.00294525      	2.83612802e-04	4.91107109e-21	2.01910389e-03	-1.00955195e-04	-5.29485613e-04	1.41806401e-05	4.08512062e-05	2.42761595e-04	1.41806401e-05	-1.41806401e-05	4.80066332e-04	1.53903756e-03
0.00302402      	2.43128311e-04	-6.71276115e-22	2.03961430e-03	-1.01980715e-04	-5.28502766e-04	1.21564155e-05	1.95834404e-05	2.23544871e-04	1.21564155e-05	-1.21564155e-05	4.91304385e-04	1.54830992e-03
0.00310279      	2.14021098e-04	3.32478627e-21	2.05849520e-03	-1.02924760e-04	-5.26948728e-04	1.07010549e-05	4.08578928e-06	2.09935309e-04	1.07010549e-05	-1.07010549e-05	5.02298872e-04	1.55619633e-03
0.00318156      	1.95429735e-04	7.61554878e-22	2.07607927e-03	-1.03803963e-04	-5.25201384e-04	9.77148676e-06	-6.08909577e-06	2.01518831e-04	9.77148676e-06	-9.77148676e-06	5.12838250e-04	1.56324102e-03
0.00326033      	1.86315646e-04	6.68692983e-22	2.09269919e-03	-1.04634960e-04	-5.23046085e-04	9.31578230e-06	-1.14771366e-05	1.97792783e-04	9.31578230e-06	-9.31578230e-06	5.23303511e-04	1.56939568e-03
0.0033391       	1.86475539e-04	-3.33788077e-22	2.10790155e-03	-1.05395078e-04	-5.20447106e-04	9.32377695e-06	-1.21573080e-05	1.98632847e-04	9.32377695e-06	-9.32377695e-06	5.33503669e-04	1.57439788e-03
0.00341787      	1.94710802e-04	2.06462860e-21	2.12198577e-03	-1.06099288e-04	-5.17486647e-04	9.73554011e-06	-8.74388728e-06	2.03454690e-04	9.73554011e-06	-9.73554011e-06	5.43506238e-04	1.57847953e-03
0.00349664      	2.10351597e-04	6.37983656e-24	2.13460630e-03	-1.06730315e-04	-5.13937617e-04	1.05175798e-05	-1.55451669e-06	2.11906114e-04	1.05175798e-05	-1.05175798e-05	5.53365534e-04	1.58124077e-03
0.00357541      	2.32289246e-04	-2.13562295e-21	2.14646456e-03	-1.07323228e-04	-5.10307061e-04	1.16144623e-05	8.82139493e-06	2.23467851e-04	1.16144623e-05	-1.16144623e-05	5.62925220e-04	1.58353934e-03
0.00365418      	2.59578232e-04	-1.75148301e-21	2.15716286e-03	-1.07858143e-04	-5.06309616e-04	1.29789116e-05	2.19309733e-05	2.37647259e-04	1.29789116e-05	-1.29789116e-05	5.72271812e-04	1.58489104e-03
0.00373295      	2.91364399e-04	-2.99400648e-22	2.17113151e-03	-1.08556576e-04	-5.04097980e-04	1.45682199e-05	3.71256236e-05	2.54238775e-04	1.45682199e-05	-1.45682199e-05	5.81467778e-04	1.58966374e-03
0.00381172      	3.25624327e-04	6.75222346e-22	2.18090939e-03	-1.09045470e-04	-4.99996546e-04	1.62812164e-05	5.37666939e-05	2.71857633e-04	1.62812164e-05	-1.62812164e-05	5.90458150e-04	1.59045124e-03
0.00389049      	3.61726884e-04	-1.26022456e-21	2.18961508e-03	-1.09480754e-04	-4.95254964e-04	1.80863442e-05	7.13826882e-05	2.90344196e-04	1.80863442e-05	-1.80863442e-05	5.99552576e-04	1.59006250e-03
0.00396926      	3.98573392e-04	1.39388003e-21	2.19702974e-03	-1.09851487e-04	-4.90398307e-04	1.99286696e-05	8.94352094e-05	3.09138183e-04	1.99286696e-05	-1.99286696e-05	6.08116561e-04	1.58891317e-03
0.00404803      	4.35157601e-04	-7.73375749e-22	2.20393337e-03	-1.10196668e-04	-4.85408039e-04	2.17578801e-05	1.07382132e-04	3.27775469e-04	2.17578801e-05	-2.17578801e-05	6.16558644e-04	1.58737472e-03
