# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.39808e-06     	(1.35086555e+02 -6.51302800e-17 -1.22851434e-01)	(1.31662286e+02 -6.51082076e-17 -1.24087041e-01)	(3.42426919e+00 -2.20723747e-20 1.23560671e-03)
5.27302e-06     	(1.55861054e+02 2.06739485e-16 -2.96467835e-01)	(1.52482601e+02 2.07017765e-16 -3.01206989e-01)	(3.37845285e+00 -2.78280034e-19 4.73915412e-03)
8.72693e-06     	(1.46782349e+02 -5.42131575e-17 -6.86150461e-02)	(1.43424114e+02 -5.47053768e-17 -7.80055270e-02)	(3.35823558e+00 4.92219356e-19 9.39048086e-03)
1.28745e-05     	(1.40450071e+02 -2.06021704e-17 -6.74732661e-02)	(1.37109805e+02 -2.08037429e-17 -8.23110942e-02)	(3.34026605e+00 2.01572451e-19 1.48378281e-02)
1.786e-05       	(1.38337681e+02 6.63518680e-17 -1.44311826e-01)	(1.35018113e+02 6.74963159e-17 -1.65691719e-01)	(3.31956795e+00 -1.14444791e-18 2.13798928e-02)
2.38487e-05     	(1.35371317e+02 1.46461245e-16 -9.88315926e-03)	(1.32074672e+02 1.47465873e-16 -3.88523889e-02)	(3.29664551e+00 -1.00462740e-18 2.89692296e-02)
3.10262e-05     	(1.31590989e+02 6.40516608e-17 2.19059688e-01)	(1.28319713e+02 6.52863415e-17 1.81262384e-01)	(3.27127611e+00 -1.23468070e-18 3.77973041e-02)
3.96012e-05     	(1.27419761e+02 2.25356678e-16 1.41777602e-01)	(1.24176529e+02 2.26919205e-16 9.36333993e-02)	(3.24323146e+00 -1.56252704e-18 4.81442031e-02)
4.99281e-05     	(1.22957212e+02 3.51466146e-17 9.67524449e-02)	(1.19745047e+02 3.52562083e-17 3.65060287e-02)	(3.21216477e+00 -1.09593641e-19 6.02464162e-02)
6.22667e-05     	(1.18087654e+02 -3.84540527e-17 1.32114099e-01)	(1.14909245e+02 -3.88605421e-17 5.80471187e-02)	(3.17840895e+00 4.06489409e-19 7.40669799e-02)
7.71513e-05     	(1.12831860e+02 6.80999583e-17 4.10745273e-01)	(1.09689635e+02 6.68440300e-17 3.20871144e-01)	(3.14222570e+00 1.25592826e-18 8.98741289e-02)
9.48984e-05     	(1.07521835e+02 -1.34935326e-16 2.89602446e-01)	(1.04417139e+02 -1.37282689e-16 1.81908807e-01)	(3.10469606e+00 2.34736326e-18 1.07693638e-01)
0.000115947     	(1.02284769e+02 9.01284467e-17 2.86040305e-01)	(9.92164181e+01 9.26659278e-17 1.58645158e-01)	(3.06835048e+00 -2.53748106e-18 1.27395147e-01)
0.000141206     	(9.68622342e+01 -4.70924608e-17 2.42953725e-01)	(9.38256828e+01 -4.67855576e-17 9.39324949e-02)	(3.03655141e+00 -3.06903222e-19 1.49021230e-01)
