# Moment        
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.39808e-06     	(6.14257170e-03 3.15534751e-02 6.75432774e+00)	(6.20435204e-03 3.25154780e-02 6.58311428e+00)	(-6.17803356e-05 -9.62002824e-04 1.71213460e-01)
5.27302e-06     	(1.48233918e-02 1.04908703e-01 7.79305271e+00)	(1.50603495e-02 1.07783664e-01 7.62413007e+00)	(-2.36957706e-04 -2.87496112e-03 1.68922643e-01)
8.72693e-06     	(3.43075231e-03 4.66997806e-02 7.33911747e+00)	(3.90027635e-03 5.21806173e-02 7.17120569e+00)	(-4.69524043e-04 -5.48083667e-03 1.67911779e-01)
1.28745e-05     	(3.37366330e-03 3.56819044e-02 7.02250353e+00)	(4.11555471e-03 4.41051307e-02 6.85549023e+00)	(-7.41891405e-04 -8.42322625e-03 1.67013303e-01)
1.786e-05       	(7.21559132e-03 8.51105575e-02 6.91688404e+00)	(8.28458595e-03 9.70962863e-02 6.75090565e+00)	(-1.06899464e-03 -1.19857287e-02 1.65978397e-01)
2.38487e-05     	(4.94157963e-04 6.77724216e-02 6.76856586e+00)	(1.94261944e-03 8.38686401e-02 6.60373358e+00)	(-1.44846148e-03 -1.60962185e-02 1.64832275e-01)
3.10262e-05     	(-1.09529844e-02 -2.26874749e-02 6.57954947e+00)	(-9.06311918e-03 -1.85297275e-03 6.41598566e+00)	(-1.88986520e-03 -2.08345022e-02 1.63563805e-01)
3.96012e-05     	(-7.08888012e-03 -3.59633020e-02 6.37098803e+00)	(-4.68166996e-03 -9.65727689e-03 6.20882646e+00)	(-2.40721015e-03 -2.63060251e-02 1.62161573e-01)
4.99281e-05     	(-4.83762224e-03 -9.64898732e-02 6.14786061e+00)	(-1.82530143e-03 -6.38552193e-02 5.98725237e+00)	(-3.01232081e-03 -3.26346538e-02 1.60608238e-01)
6.22667e-05     	(-6.60570493e-03 -6.73563547e-02 5.90438268e+00)	(-2.90235594e-03 -2.75151565e-02 5.74546223e+00)	(-3.70334900e-03 -3.98411982e-02 1.58920447e-01)
7.71513e-05     	(-2.05372637e-02 -1.48359572e-01 5.64159302e+00)	(-1.60435572e-02 -1.00343559e-01 5.48448173e+00)	(-4.49370645e-03 -4.80160131e-02 1.57111285e-01)
9.48984e-05     	(-1.44801223e-02 -1.17569559e-01 5.37609175e+00)	(-9.09544036e-03 -6.03682734e-02 5.22085695e+00)	(-5.38468192e-03 -5.72012858e-02 1.55234803e-01)
0.000115947     	(-1.43020153e-02 -8.35098691e-02 5.11423843e+00)	(-7.93225791e-03 -1.61598133e-02 4.96082090e+00)	(-6.36975736e-03 -6.73500558e-02 1.53417524e-01)
0.000141206     	(-1.21476862e-02 -5.72786625e-02 4.84311171e+00)	(-4.69662475e-03 2.12212910e-02 4.69128414e+00)	(-7.45106150e-03 -7.84999536e-02 1.51827570e-01)
0.000171877     	(-2.02907918e-02 -1.81877354e-01 4.56406096e+00)	(-1.16663868e-02 -9.13193930e-02 4.41341062e+00)	(-8.62440494e-03 -9.05579614e-02 1.50650343e-01)
0.000207883     	(-2.24120813e-02 -2.07906833e-01 4.27998428e+00)	(-1.25860352e-02 -1.05036592e-01 4.12988180e+00)	(-9.82604606e-03 -1.02870241e-01 1.50102486e-01)
0.000251889     	(-3.26169832e-02 -2.48100328e-01 3.98772920e+00)	(-2.15497515e-02 -1.32434684e-01 3.83741046e+00)	(-1.10672317e-02 -1.15665644e-01 1.50318736e-01)
0.000305326     	(-3.96181715e-02 -2.69932140e-01 3.69121595e+00)	(-2.73208487e-02 -1.41075230e-01 3.53969923e+00)	(-1.22973227e-02 -1.28856909e-01 1.51516715e-01)
0.000368478     	(-5.24788549e-02 -3.51009200e-01 3.39987217e+00)	(-3.90516295e-02 -2.09053992e-01 3.24611276e+00)	(-1.34272255e-02 -1.41955208e-01 1.53759415e-01)
0.000438647     	(-6.53402499e-02 -4.15950356e-01 3.12223130e+00)	(-5.09685542e-02 -2.61820895e-01 2.96532969e+00)	(-1.43716956e-02 -1.54129461e-01 1.56901605e-01)
0.00051884      	(-7.62213302e-02 -5.03315610e-01 2.84821140e+00)	(-6.10567528e-02 -3.37735979e-01 2.68731843e+00)	(-1.51645774e-02 -1.65579630e-01 1.60892967e-01)
0.000599034     	(-9.07462714e-02 -5.90196070e-01 2.60563874e+00)	(-7.50075189e-02 -4.15470637e-01 2.44069720e+00)	(-1.57387525e-02 -1.74725432e-01 1.64941540e-01)
