# Wall shear stress
# Time          	patch           	min             	max             
0               	aerofoil	(-8.73281012e+00 -4.75349502e-19 -1.22132546e+00)	(-6.48322644e+00 4.75349502e-19 1.22132546e+00)
0.001           	aerofoil	(-6.91262654e+01 -2.75913290e-15 -1.15065834e+01)	(5.01623783e-01 1.94962453e-15 5.86450818e+00)
0.002           	aerofoil	(-7.64259366e+01 -2.57434566e-15 -1.19478979e+01)	(6.10247713e-01 2.75805131e-15 6.06174224e+00)
0.00475697      	aerofoil	(-8.20409617e+01 -2.12804782e-15 -1.23131213e+01)	(5.59047604e-01 2.16557099e-15 5.97068426e+00)
0.010403        	aerofoil	(-6.71973748e+01 -1.82338852e-15 -1.24111835e+01)	(2.70732821e-01 2.99422162e-15 5.49482013e+00)
0.0216013       	aerofoil	(-3.95797954e+01 -1.34119518e-15 -1.22962874e+01)	(4.68563393e-02 1.49673344e-15 5.29500546e+00)
0.0278447       	aerofoil	(-2.60096962e+01 -1.40595348e-15 -1.20429417e+01)	(2.40477487e-02 1.38456815e-15 5.50366854e+00)
0.0460751       	aerofoil	(-1.29616698e+01 -1.99654332e-15 -1.06541185e+01)	(-8.12654732e-02 2.07572696e-15 7.43835600e+00)
0.0523          	aerofoil	(-2.99362734e+01 -2.03866816e-15 -1.00427754e+01)	(1.45378758e-01 2.17001341e-15 8.31335004e+00)
0.0635          	aerofoil	(-5.70319270e+01 -1.59356148e-15 -8.83649297e+00)	(1.94394987e-01 1.75968562e-15 9.67259737e+00)
0.0691          	aerofoil	(-6.29103555e+01 -1.77566880e-15 -8.15681385e+00)	(1.45340590e-01 1.81915426e-15 1.02432864e+01)
0.0791          	aerofoil	(-6.21485404e+01 -1.75130340e-15 -7.05619573e+00)	(9.68616154e-02 2.20351267e-15 1.09101000e+01)
0.0863          	aerofoil	(-5.47548826e+01 -1.59601059e-15 -6.48575753e+00)	(3.52406460e-02 1.84840662e-15 1.11010948e+01)
0.104           	aerofoil	(-2.10278809e+01 -1.37976548e-15 -6.36663738e+00)	(1.56732865e-02 1.63488223e-15 1.07985606e+01)
0.116           	aerofoil	(-1.08181961e+01 -2.01391089e-15 -7.44823267e+00)	(-1.13833812e-01 1.96584460e-15 1.01033467e+01)
0.125           	aerofoil	(-2.46273249e+01 -2.11172001e-15 -8.63969183e+00)	(1.04985817e-01 1.60703085e-15 9.37899335e+00)
0.135           	aerofoil	(-5.28602363e+01 -2.03905492e-15 -9.82680943e+00)	(2.10589745e-01 2.28744822e-15 8.47944029e+00)
0.142           	aerofoil	(-6.21470670e+01 -1.90786849e-15 -1.05524244e+01)	(1.56481868e-01 1.19307405e-15 7.75552479e+00)
0.152           	aerofoil	(-6.27728087e+01 -2.16209578e-15 -1.12350222e+01)	(1.03576200e-01 1.50619067e-15 6.75568353e+00)
0.158           	aerofoil	(-5.71158742e+01 -1.47030860e-15 -1.14213734e+01)	(5.83778969e-02 2.03103131e-15 6.30438779e+00)
0.169           	aerofoil	(-4.07785402e+01 -1.85046900e-15 -1.13944495e+01)	(8.07678881e-03 2.15320223e-15 5.91289975e+00)
0.175           	aerofoil	(-2.79448479e+01 -1.71029180e-15 -1.12137568e+01)	(1.02851680e-02 2.56047253e-15 6.02573762e+00)
0.193           	aerofoil	(-1.16359037e+01 -2.01266637e-15 -1.01033319e+01)	(-1.03149105e-01 2.03510432e-15 7.67667161e+00)
0.2             	aerofoil	(-2.89426800e+01 -1.42872121e-15 -9.51995590e+00)	(1.39269154e-01 2.04430845e-15 8.62892456e+00)
0.211           	aerofoil	(-5.63949466e+01 -2.21229252e-15 -8.45339552e+00)	(1.97884458e-01 1.88010651e-15 9.91547431e+00)
0.217           	aerofoil	(-6.28725971e+01 -2.11937211e-15 -7.81510213e+00)	(1.45450216e-01 2.26190944e-15 1.05167443e+01)
0.227           	aerofoil	(-6.20505030e+01 -1.70552286e-15 -6.79527001e+00)	(9.62170740e-02 2.13899171e-15 1.11396835e+01)
0.234           	aerofoil	(-5.48870454e+01 -2.36833054e-15 -6.29909510e+00)	(3.67842913e-02 1.95635088e-15 1.13133377e+01)
0.243           	aerofoil	(-4.05925349e+01 -1.48406289e-15 -6.01349380e+00)	(7.96915483e-03 1.91222974e-15 1.12655142e+01)
0.252           	aerofoil	(-2.06242798e+01 -1.36681068e-15 -6.25416922e+00)	(1.62806781e-02 2.12047622e-15 1.09414332e+01)
0.264           	aerofoil	(-1.08113226e+01 -2.15520659e-15 -7.37099040e+00)	(-1.08199581e-01 1.74000997e-15 1.02188003e+01)
0.273           	aerofoil	(-2.53091652e+01 -2.32784732e-15 -8.58428010e+00)	(1.10215072e-01 2.33464167e-15 9.47612463e+00)
0.283           	aerofoil	(-5.31348746e+01 -2.08039383e-15 -9.77845787e+00)	(2.10004528e-01 1.76166906e-15 8.55298087e+00)
0.29            	aerofoil	(-6.22509131e+01 -2.01533289e-15 -1.05018825e+01)	(1.54505080e-01 1.69808819e-15 7.81574161e+00)
