# y+ ()         
# Time          	patch           	min             	max             	average         
0               	aerofoil	3.07698608e+01	3.55956295e+01	3.39854328e+01
0.001           	aerofoil	4.18337156e-01	7.12604759e+01	2.77971346e+01
0.002           	aerofoil	2.45280021e-01	7.45267177e+01	2.81806690e+01
0.00475697      	aerofoil	4.23157456e-01	7.54905429e+01	2.71113690e+01
0.010403        	aerofoil	3.09327995e-01	7.06489302e+01	2.56964119e+01
0.0216013       	aerofoil	3.03170735e-01	5.41466070e+01	2.32116318e+01
0.0278447       	aerofoil	2.11878931e-01	4.39024094e+01	2.20123187e+01
0.0460751       	aerofoil	3.15025380e+00	3.11190711e+01	2.16414121e+01
0.0523          	aerofoil	5.42297897e-01	5.51065926e+01	2.30652177e+01
0.0635          	aerofoil	2.68885153e-01	7.12555076e+01	2.45424767e+01
0.0691          	aerofoil	1.64443463e-01	7.17457322e+01	2.49108568e+01
0.0791          	aerofoil	1.97651769e-01	6.69789161e+01	2.49024587e+01
0.0863          	aerofoil	1.89403284e-01	6.37309570e+01	2.43682532e+01
0.104           	aerofoil	3.10800480e-01	3.95024709e+01	2.14004849e+01
0.116           	aerofoil	2.47153031e+00	2.73072930e+01	2.05615171e+01
0.125           	aerofoil	4.53496017e-01	5.02320805e+01	2.28237524e+01
0.135           	aerofoil	1.82312867e-01	6.96987176e+01	2.43253988e+01
0.142           	aerofoil	1.63722612e-01	7.18845323e+01	2.48831127e+01
0.152           	aerofoil	2.22158304e-01	6.71555713e+01	2.49635468e+01
0.158           	aerofoil	1.62238340e-01	6.50985754e+01	2.45989892e+01
0.169           	aerofoil	1.44640976e-01	5.49632069e+01	2.31464758e+01
0.175           	aerofoil	1.73448716e-01	4.54869732e+01	2.20345595e+01
0.193           	aerofoil	3.48434999e+00	2.82259050e+01	2.12965149e+01
0.2             	aerofoil	7.07047294e-01	5.42927440e+01	2.30256641e+01
0.211           	aerofoil	1.76016876e-01	7.10157162e+01	2.45211941e+01
0.217           	aerofoil	2.52860495e-01	7.16979710e+01	2.49204749e+01
0.227           	aerofoil	2.05649039e-01	6.69365254e+01	2.49059444e+01
0.234           	aerofoil	1.52888756e-01	6.38023672e+01	2.43857731e+01
0.243           	aerofoil	1.57149939e-01	5.48377230e+01	2.31250855e+01
0.252           	aerofoil	2.21857177e-01	3.91239549e+01	2.13632702e+01
0.264           	aerofoil	2.89563035e+00	2.74593278e+01	2.05834841e+01
0.273           	aerofoil	2.65299215e-01	5.09191462e+01	2.28510697e+01
0.283           	aerofoil	2.54966235e-01	6.98024420e+01	2.43367203e+01
0.29            	aerofoil	2.39673098e-01	7.18484346e+01	2.48854389e+01
